,signal
2019-05-28 12:00:00+00:00,0
2019-05-28 12:15:00+00:00,0
2019-05-28 12:30:00+00:00,1
2019-05-28 12:45:00+00:00,0
2019-05-28 13:00:00+00:00,0
2019-05-28 13:15:00+00:00,0
2019-05-28 13:30:00+00:00,0
2019-05-28 13:45:00+00:00,0
2019-05-28 14:00:00+00:00,0
2019-05-28 14:15:00+00:00,0
2019-05-28 14:30:00+00:00,0
2019-05-28 14:45:00+00:00,0
2019-05-28 15:00:00+00:00,0
2019-05-28 15:15:00+00:00,0
2019-05-28 15:30:00+00:00,0
2019-05-28 15:45:00+00:00,0
2019-05-28 16:00:00+00:00,0
2019-05-29 09:45:00+00:00,0
2019-05-29 10:00:00+00:00,0
2019-05-29 10:15:00+00:00,1
2019-05-29 10:30:00+00:00,1
2019-05-29 10:45:00+00:00,1
2019-05-29 11:00:00+00:00,1
2019-05-29 11:15:00+00:00,1
2019-05-29 11:30:00+00:00,1
2019-05-29 11:45:00+00:00,1
2019-05-29 12:00:00+00:00,1
2019-05-29 12:15:00+00:00,1
2019-05-29 12:30:00+00:00,1
2019-05-29 12:45:00+00:00,1
2019-05-29 13:00:00+00:00,0
2019-05-29 13:15:00+00:00,0
2019-05-29 13:30:00+00:00,0
2019-05-29 13:45:00+00:00,0
2019-05-29 14:00:00+00:00,0
2019-05-29 14:15:00+00:00,0
2019-05-29 14:30:00+00:00,0
2019-05-29 14:45:00+00:00,0
2019-05-29 15:00:00+00:00,0
2019-05-29 15:15:00+00:00,0
2019-05-29 15:30:00+00:00,0
2019-05-29 15:45:00+00:00,0
2019-05-29 16:00:00+00:00,0
2019-05-30 09:45:00+00:00,0
2019-05-30 10:00:00+00:00,0
2019-05-30 10:15:00+00:00,0
2019-05-30 10:30:00+00:00,0
2019-05-30 10:45:00+00:00,0
2019-05-30 11:00:00+00:00,0
2019-05-30 11:15:00+00:00,0
2019-05-30 11:30:00+00:00,0
2019-05-30 11:45:00+00:00,0
2019-05-30 12:00:00+00:00,0
2019-05-30 12:15:00+00:00,0
2019-05-30 12:30:00+00:00,0
2019-05-30 12:45:00+00:00,0
2019-05-30 13:00:00+00:00,0
2019-05-30 13:15:00+00:00,0
2019-05-30 13:30:00+00:00,0
2019-05-30 13:45:00+00:00,0
2019-05-30 14:00:00+00:00,0
2019-05-30 14:15:00+00:00,0
2019-05-30 14:30:00+00:00,0
2019-05-30 14:45:00+00:00,0
2019-05-30 15:00:00+00:00,0
2019-05-30 15:15:00+00:00,0
2019-05-30 15:30:00+00:00,0
2019-05-30 15:45:00+00:00,0
2019-05-30 16:00:00+00:00,0
2019-05-31 09:45:00+00:00,1
2019-05-31 10:00:00+00:00,0
2019-05-31 10:15:00+00:00,0
2019-05-31 10:30:00+00:00,0
2019-05-31 10:45:00+00:00,0
2019-05-31 11:00:00+00:00,0
2019-05-31 11:15:00+00:00,0
2019-05-31 11:30:00+00:00,0
2019-05-31 11:45:00+00:00,0
2019-05-31 12:00:00+00:00,0
2019-05-31 12:15:00+00:00,0
2019-05-31 12:30:00+00:00,0
2019-05-31 12:45:00+00:00,0
2019-05-31 13:00:00+00:00,0
2019-05-31 13:15:00+00:00,0
2019-05-31 13:30:00+00:00,0
2019-05-31 13:45:00+00:00,0
2019-05-31 14:00:00+00:00,0
2019-05-31 14:15:00+00:00,0
2019-05-31 14:30:00+00:00,0
2019-05-31 14:45:00+00:00,0
2019-05-31 15:00:00+00:00,0
2019-05-31 15:15:00+00:00,0
2019-05-31 15:30:00+00:00,0
2019-05-31 15:45:00+00:00,0
2019-05-31 16:00:00+00:00,0
2019-06-03 09:45:00+00:00,0
2019-06-03 10:00:00+00:00,0
2019-06-03 10:15:00+00:00,0
2019-06-03 10:30:00+00:00,0
2019-06-03 10:45:00+00:00,0
2019-06-03 11:00:00+00:00,0
2019-06-03 11:15:00+00:00,0
2019-06-03 11:30:00+00:00,0
2019-06-03 11:45:00+00:00,0
2019-06-03 12:00:00+00:00,0
2019-06-03 12:15:00+00:00,0
2019-06-03 12:30:00+00:00,0
2019-06-03 12:45:00+00:00,0
2019-06-03 13:00:00+00:00,0
2019-06-03 13:15:00+00:00,0
2019-06-03 13:30:00+00:00,0
2019-06-03 13:45:00+00:00,0
