,signal
2017-01-05 09:45:00+00:00,0
2017-01-05 10:00:00+00:00,0
2017-01-05 10:15:00+00:00,0
2017-01-05 10:30:00+00:00,0
2017-01-05 10:45:00+00:00,0
2017-01-05 11:00:00+00:00,0
2017-01-05 11:15:00+00:00,1
2017-01-05 11:30:00+00:00,0
2017-01-05 11:45:00+00:00,1
2017-01-05 12:00:00+00:00,1
2017-01-05 12:15:00+00:00,1
2017-01-05 12:30:00+00:00,0
2017-01-05 12:45:00+00:00,1
2017-01-05 13:00:00+00:00,1
2017-01-05 13:15:00+00:00,0
2017-01-05 13:30:00+00:00,0
2017-01-05 13:45:00+00:00,1
2017-01-05 14:00:00+00:00,1
2017-01-05 14:15:00+00:00,0
2017-01-05 14:30:00+00:00,0
2017-01-05 14:45:00+00:00,0
2017-01-05 15:00:00+00:00,1
2017-01-05 15:15:00+00:00,1
2017-01-05 15:30:00+00:00,1
2017-01-05 15:45:00+00:00,1
2017-01-05 16:00:00+00:00,0
2017-01-06 09:45:00+00:00,1
2017-01-06 10:00:00+00:00,0
2017-01-06 10:15:00+00:00,0
2017-01-06 10:30:00+00:00,0
2017-01-06 10:45:00+00:00,0
2017-01-06 11:00:00+00:00,1
2017-01-06 11:15:00+00:00,1
2017-01-06 11:30:00+00:00,1
2017-01-06 11:45:00+00:00,1
2017-01-06 12:00:00+00:00,0
2017-01-06 12:15:00+00:00,1
2017-01-06 12:30:00+00:00,1
2017-01-06 12:45:00+00:00,1
2017-01-06 13:00:00+00:00,0
2017-01-06 13:15:00+00:00,0
2017-01-06 13:30:00+00:00,1
2017-01-06 13:45:00+00:00,0
2017-01-06 14:00:00+00:00,1
2017-01-06 14:15:00+00:00,0
2017-01-06 14:30:00+00:00,0
2017-01-06 14:45:00+00:00,1
2017-01-06 15:00:00+00:00,0
2017-01-06 15:15:00+00:00,0
2017-01-06 15:30:00+00:00,1
2017-01-06 15:45:00+00:00,0
2017-01-06 16:00:00+00:00,0
2017-01-09 09:45:00+00:00,1
2017-01-09 10:00:00+00:00,1
2017-01-09 10:15:00+00:00,1
2017-01-09 10:30:00+00:00,0
2017-01-09 10:45:00+00:00,1
2017-01-09 11:00:00+00:00,0
2017-01-09 11:15:00+00:00,1
2017-01-09 11:30:00+00:00,0
2017-01-09 11:45:00+00:00,0
2017-01-09 12:00:00+00:00,1
2017-01-09 12:15:00+00:00,1
2017-01-09 12:30:00+00:00,1
2017-01-09 12:45:00+00:00,1
2017-01-09 13:00:00+00:00,0
2017-01-09 13:15:00+00:00,0
2017-01-09 13:30:00+00:00,1
2017-01-09 13:45:00+00:00,1
2017-01-09 14:00:00+00:00,0
2017-01-09 14:15:00+00:00,1
2017-01-09 14:30:00+00:00,0
2017-01-09 14:45:00+00:00,0
2017-01-09 15:00:00+00:00,0
